0 296 307 296 306 297 307 295 307
1 313 307 308 302 312 306 313 306
2 302 312 301 312 302 311 301 311
3 310 304 310 305 309 304 309 305
4 303 303 304 302 302 303 304 303
5 306 297 305 297 305 298 306 296
6 303 303 302 303 303 304 302 304
7 336 287 313 306 336 288 313 307
8 304 300 305 300 304 299 305 299
9 310 314 311 317 310 313 310 315
10 313 301 313 300 312 300 312 301
11 298 301 299 301 298 302 297 302
12 314 305 284 312 314 304 313 305
13 293 303 292 303 293 302 292 302
14 301 311 303 309 303 308 301 310
15 310 303 310 304 311 303 301 305
16 299 299 300 299 300 298 299 298
17 315 301 302 306 316 297 300 301
18 302 298 301 298 301 297 302 297
19 296 297 296 296 297 296 295 297
20 310 300 311 301 310 301 312 301
21 298 300 299 300 299 301 298 299
22 299 297 299 298 298 298 297 298
23 301 299 302 299 302 300 301 300
24 303 298 303 297 302 298 302 297
25 303 300 303 299 304 300 304 299
26 300 303 299 304 300 304 299 303
27 298 302 298 301 297 302 299 302
28 311 299 302 304 302 305 312 299
29 301 303 301 302 302 303 302 302
30 301 303 300 304 301 304 300 303
31 304 302 303 302 304 303 303 303
32 302 303 301 303 302 302 301 304
33 300 297 299 297 299 296 298 295
34 303 300 302 301 303 301 303 299
35 302 298 302 299 303 299 303 298
36 302 299 302 300 301 299 303 299
37 302 298 303 297 302 297 303 298
38 299 297 299 298 299 296 302 294
39 303 302 302 301 304 302 309 303
40 305 295 308 287 305 296 304 299
41 294 300 300 291 294 301 294 302
42 300 299 299 299 300 298 301 299
43 301 299 301 298 302 299 300 299
44 322 292 306 297 306 298 305 297
45 294 296 295 297 296 297 294 297
46 304 297 305 297 304 298 299 305
47 302 299 302 300 303 299 303 300
48 299 298 306 300 307 300 305 299
49 303 301 303 300 303 299 304 300
50 301 291 311 303 310 303 311 302
51 299 296 304 298 304 299 303 299
52 302 306 302 305 301 305 301 304
53 301 299 300 299 302 299 303 299
54 302 295 302 294 302 296 303 295
55 302 318 302 319 301 306 301 305
56 306 292 300 297 299 299 306 291
57 301 295 302 295 301 294 303 295
58 311 299 312 299 310 299 312 298
59 301 298 301 297 300 298 300 297
60 303 295 303 296 304 295 303 294
61 301 299 303 297 301 300 302 297
62 307 292 308 292 307 291 306 300
63 304 302 303 302 305 302 295 300
64 294 292 301 293 300 294 300 293
65 305 294 306 293 305 293 306 292
66 297 302 297 301 300 300 300 299
67 301 300 301 301 302 300 300 300
68 300 298 300 299 300 297 300 300
69 310 286 310 285 310 287 309 285
70 302 300 302 299 301 300 301 299
71 300 298 300 299 299 298 299 299
72 299 302 299 303 307 299 308 298
73 299 300 300 300 300 301 299 301
74 301 300 302 299 300 300 300 299
75 302 300 301 300 303 299 301 301
76 300 305 301 302 299 305 300 306
77 303 302 298 298 297 298 303 301
78 300 300 288 296 287 296 288 295
79 303 296 302 296 302 297 303 297
80 312 292 311 292 314 292 311 296
81 308 302 309 302 309 301 308 301
82 300 298 301 298 300 299 301 299
83 298 301 298 302 297 301 297 302
84 305 301 301 297 305 303 302 297
85 290 294 296 297 295 296 294 295
86 303 301 303 302 303 303 303 304
87 299 297 300 295 301 298 300 296
88 292 303 291 302 291 303 292 302
89 302 299 303 297 301 300 301 299
90 300 307 301 307 301 306 300 306
91 301 315 302 300 303 300 302 301
92 304 298 305 298 301 302 302 302
93 302 300 302 299 303 299 303 300
94 290 302 291 302 303 297 291 301
95 299 299 301 299 304 300 301 300
96 301 300 301 299 302 300 299 300
97 301 298 301 297 300 298 302 298
98 305 296 305 297 304 296 304 297
99 301 299 301 298 300 299 300 300
100 304 301 303 301 303 302 302 301
101 296 307 296 306 297 307 295 307
102 313 307 308 302 312 306 313 306
103 302 312 301 312 302 311 301 311
104 310 304 310 305 309 304 309 305
105 303 303 304 302 302 303 304 303
106 306 297 305 297 305 298 306 296
107 303 303 302 303 303 304 302 304
108 336 287 313 306 336 288 313 307
109 304 300 305 300 304 299 305 299
110 310 314 311 317 310 313 310 315
111 313 301 313 300 312 300 312 301
112 298 301 299 301 298 302 297 302
113 314 305 284 312 314 304 313 305
114 293 303 292 303 293 302 292 302
115 301 311 303 309 303 308 301 310
116 310 303 310 304 311 303 301 305
117 299 299 300 299 300 298 299 298
118 315 301 302 306 316 297 300 301
119 302 298 301 298 301 297 302 297
120 296 297 296 296 297 296 295 297
121 310 300 311 301 310 301 312 301
122 298 300 299 300 299 301 298 299
123 299 297 299 298 298 298 297 298
124 301 299 302 299 302 300 301 300
125 303 298 303 297 302 298 302 297
126 303 300 303 299 304 300 304 299
127 300 303 299 304 300 304 299 303
128 298 302 298 301 297 302 299 302
129 311 299 302 304 302 305 312 299
130 301 303 301 302 302 303 302 302
131 301 303 300 304 301 304 300 303
132 304 302 303 302 304 303 303 303
133 302 303 301 303 302 302 301 304
134 300 297 299 297 299 296 298 295
135 303 300 302 301 303 301 303 299
136 302 298 302 299 303 299 303 298
137 302 299 302 300 301 299 303 299
138 302 298 303 297 302 297 303 298
139 299 297 299 298 299 296 302 294
140 303 302 302 301 304 302 309 303
141 305 295 308 287 305 296 304 299
142 294 300 300 291 294 301 294 302
143 300 299 299 299 300 298 301 299
144 301 299 301 298 302 299 300 299
145 322 292 306 297 306 298 305 297
146 294 296 295 297 296 297 294 297
147 304 297 305 297 304 298 299 305
148 302 299 302 300 303 299 303 300
149 299 298 306 300 307 300 305 299
150 303 301 303 300 303 299 304 300
151 301 291 311 303 310 303 311 302
152 299 296 304 298 304 299 303 299
153 302 306 302 305 301 305 301 304
154 301 299 300 299 302 299 303 299
155 302 295 302 294 302 296 303 295
156 302 318 302 319 301 306 301 305
157 306 292 300 297 299 299 306 291
158 301 295 302 295 301 294 303 295
159 311 299 312 299 310 299 312 298
160 301 298 301 297 300 298 300 297
161 303 295 303 296 304 295 303 294
162 301 299 303 297 301 300 302 297
163 307 292 308 292 307 291 306 300
164 304 302 303 302 305 302 295 300
165 294 292 301 293 300 294 300 293
166 305 294 306 293 305 293 306 292
167 297 302 297 301 300 300 300 299
168 301 300 301 301 302 300 300 300
169 300 298 300 299 300 297 300 300
170 310 286 310 285 310 287 309 285
171 302 300 302 299 301 300 301 299
172 300 298 300 299 299 298 299 299
173 299 302 299 303 307 299 308 298
174 299 300 300 300 300 301 299 301
175 301 300 302 299 300 300 300 299
176 302 300 301 300 303 299 301 301
177 300 305 301 302 299 305 300 306
178 303 302 298 298 297 298 303 301
179 300 300 288 296 287 296 288 295
180 303 296 302 296 302 297 303 297
181 312 292 311 292 314 292 311 296
182 308 302 309 302 309 301 308 301
183 300 298 301 298 300 299 301 299
184 298 301 298 302 297 301 297 302
185 305 301 301 297 305 303 302 297
186 290 294 296 297 295 296 294 295
187 303 301 303 302 303 303 303 304
188 299 297 300 295 301 298 300 296
189 292 303 291 302 291 303 292 302
190 302 299 303 297 301 300 301 299
191 300 307 301 307 301 306 300 306
192 301 315 302 300 303 300 302 301
193 304 298 305 298 301 302 302 302
