
f814w_gal299.fits expdisk   : (  300.71,   300.84)  *80.68*     5.80    0.57   -81.11

f606w_gal300.fits expdisk   : (  300.72,   300.86)  *79.46*     3.78    0.51   -79.64

f814w_gal300.fits expdisk   : (  300.74,   300.87)  *79.51*     3.59    0.51   -79.57

f606w_gal301.fits expdisk   : (  300.77,   300.94)  *78.29*    11.48    0.58   -79.46

f814w_gal301.fits expdisk   : (  300.73,   300.93)  *78.50*    10.02    0.60   -79.27

{'299', '300', '301'}
