0 296 307
1 313 306
2 302 312
3 310 304
4 303 302
5 306 297
6 303 303
7 318 287
8 304 300
9 310 314
10 313 301
11 298 301
12 284 303
13 293 303
14 303 308
15 304 297
16 300 299
17 302 306
18 302 298
19 296 297
20 310 300
21 299 300
22 299 297
23 302 299
24 303 297
25 303 300
26 299 304
27 298 302
28 302 304
29 301 303
30 301 303
31 303 302
32 302 303
33 299 297
34 302 301
35 302 299
36 302 299
37 302 298
38 302 298
39 303 301
40 305 295
41 300 302
42 300 299
43 301 299
44 306 297
45 295 297
46 304 297
47 302 299
48 304 299
49 303 301
50 296 295
51 305 299
52 302 305
53 302 299
54 302 295
55 301 306
56 298 300
57 301 295
58 312 299
59 301 298
60 303 295
61 302 298
62 306 300
63 304 304
64 300 293
65 306 293
66 299 301
67 301 300
68 300 297
69 310 286
70 302 299
71 300 298
72 299 302
73 300 301
74 301 300
75 302 300
76 301 302
77 298 298
78 300 300
79 302 296
80 301 299
81 309 302
82 300 298
83 298 301
84 305 301
85 297 297
86 303 301
87 301 297
88 292 302
89 301 300
90 300 307
91 303 300
92 301 302
93 302 299
94 291 302
95 298 298
96 301 299
97 301 298
98 305 296
99 301 299
100 303 301
101 296 307
102 313 306
103 302 312
104 310 304
105 303 302
106 306 297
107 303 303
108 318 287
109 304 300
110 310 314
111 313 301
112 298 301
113 284 303
114 293 303
115 303 308
116 304 297
117 300 299
118 302 306
119 302 298
120 296 297
121 310 300
122 299 300
123 299 297
124 302 299
125 303 297
126 303 300
127 299 304
128 298 302
129 302 304
130 301 303
131 301 303
132 303 302
133 302 303
134 299 297
135 302 301
136 302 299
137 302 299
138 302 298
139 302 298
140 303 301
141 305 295
142 300 302
143 300 299
144 301 299
145 306 297
146 295 297
147 304 297
148 302 299
149 304 299
150 303 301
151 296 295
152 305 299
153 302 305
154 302 299
155 302 295
156 301 306
157 298 300
158 301 295
159 312 299
160 301 298
161 303 295
162 302 298
163 306 300
164 304 304
165 300 293
166 306 293
167 299 301
168 301 300
169 300 297
170 310 286
171 302 299
172 300 298
173 299 302
174 300 301
175 301 300
176 302 300
177 301 302
178 298 298
179 300 300
180 302 296
181 301 299
182 309 302
183 300 298
184 298 301
185 305 301
186 297 297
187 303 301
188 301 297
189 292 302
190 301 300
191 300 307
192 303 300
193 301 302
194 302 299
195 291 302
196 298 298
197 301 299
198 301 298
199 305 296
200 301 299
201 303 301
202 303 301
203 303 300
204 301 302
205 304 297
206 299 299
207 301 300
208 306 296
209 301 305
210 301 303
211 302 301
212 294 302
213 300 300
214 301 300
215 304 301
216 308 299
217 300 298
218 302 300
219 302 298
220 303 299
221 306 301
222 302 301
223 302 300
224 302 300
225 301 301
226 301 299
227 303 305
228 301 298
229 301 300
230 302 300
231 303 302
232 302 298
233 302 299
234 301 300
235 299 301
236 302 297
237 304 299
238 301 298
239 300 299
240 299 301
241 303 299
242 294 303
243 302 303
244 302 300
245 298 299
246 301 299
247 302 299
248 298 305
249 298 296
250 297 297
251 300 297
252 303 301
253 302 300
254 304 295
255 306 299
256 302 302
257 305 296
258 301 298
259 302 298
260 300 301
261 300 299
262 305 298
263 300 300
264 302 298
265 302 300
266 302 300
267 303 301
268 304 299
269 302 295
270 303 300
271 302 299
272 310 303
273 300 300
274 302 298
275 303 299
276 306 298
277 299 305
278 291 292
279 301 301
280 301 298
281 302 300
282 297 295
283 303 299
284 302 297
285 305 311
286 305 302
287 301 296
288 300 301
289 301 299
290 305 304
291 298 298
292 301 299
293 301 300
294 302 300
295 303 302
296 299 299
297 300 299
298 305 296
299 297 305
300 299 299
301 300 303
